,PIT,,2003,2004,2007,2008,2009 Winter,2009 Summer,2010 Winter,2010 Summer,2011 Winter,2011 Summer,2012 Winter,2012 Summer,2013 Winter,2013 Summer,2014 Winter,2014 Summer,,Teeth 1 ,Teeth 2,Teeth 3,,Male,Female,,Summer,Winter,,Weight,
/*,24081077,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,720,;
/*,24081077,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,479.251114,;
/*,24122636,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,350,;
/*,24123547,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,550,;
/*,24123547,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,650,;
/*,24123547,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,400,;
/*,24124033,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,1,0,,520,;
/*,24124033,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,1,0,,460,;
/*,24124033,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,0,1,,550,;
/*,24124320,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1,,1,0,,330,;
/*,24126352,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1,,1,0,,280,;
/*,24126352,*/,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,1,0,,0,1,,1,0,,430,;
/*,24127636,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1,,1,0,,280,;
/*,24127870,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1,,1,0,,290,;
/*,24257352,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,530,;
/*,24257352,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,550,;
/*,24257848,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,750,;
